Batsman Name,Batting Pos,selection1_batsmen_Out_NotOut,selection1_batsmen_Runs,selection1_batsmen_Balls,selection1_batsmen_Fours,selection1_batsmen_Sixes,selection1_batsmen_Strike_Rate,selection1_batsmen_Team,selection1_batsmen_Match_No,Ground,Date
Devon Conway,1,b Mohammed Shami,1,6,0,0,16.66,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ruturaj Gaikwad,2,c Shubman Gill b Joseph,92,50,4,9,184,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Moeen Ali,3,c †Saha b Rashid Khan,23,17,4,1,135.29,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ben Stokes,4,c †Saha b Rashid Khan,7,6,1,0,116.66,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ambati Rayudu,5,b Little,12,12,0,1,100,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Shivam Dube,6,c Rashid Khan b Mohammed Shami,19,18,0,1,105.55,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ravindra Jadeja,7,c Shankar b Joseph,1,2,0,0,50,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
MS Dhoni (c)†,8,not out,14,7,1,1,200,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Mitchell Santner,9,not out,1,3,0,0,33.33,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Wriddhiman Saha †,1,c Dube b Hangargekar,25,16,2,2,156.25,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Shubman Gill,2,c Gaikwad b Deshpande,63,36,6,3,175,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Sai Sudharsan,3,c †Dhoni b Hangargekar,22,17,3,0,129.41,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Hardik Pandya (c),4,b Jadeja,8,11,0,0,72.72,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Vijay Shankar,5,c Santner b Hangargekar,27,21,2,1,128.57,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Rahul Tewatia,6,not out,15,14,1,1,107.14,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Rashid Khan,7,not out,10,3,1,1,333.33,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Prabhsimran Singh,1,c †Rahmanullah Gurbaz b Southee,23,12,2,2,191.66,Punjab Kings,2nd Match (D/N), Mohali, April 01
Shikhar Dhawan (c),2,b Varun,40,29,6,0,137.93,Punjab Kings,2nd Match (D/N), Mohali, April 01
Bhanuka Rajapaksa,3,c Singh b Yadav,50,32,5,2,156.25,Punjab Kings,2nd Match (D/N), Mohali, April 01
Jitesh Sharma †,4,c Yadav b Southee,21,11,1,2,190.9,Punjab Kings,2nd Match (D/N), Mohali, April 01
Sikandar Raza,5,c Rana b Narine,16,13,1,1,123.07,Punjab Kings,2nd Match (D/N), Mohali, April 01
Sam Curran,6,not out,26,17,0,2,152.94,Punjab Kings,2nd Match (D/N), Mohali, April 01
M Shahrukh Khan,7,not out,11,7,2,0,157.14,Punjab Kings,2nd Match (D/N), Mohali, April 01
Mandeep Singh,1,c Curran b Arshdeep Singh,2,4,0,0,50,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Rahmanullah Gurbaz †,2,b Ellis,22,16,3,1,137.5,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Anukul Roy,3,c Sikandar Raza b Arshdeep Singh,4,5,1,0,80,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Venkatesh Iyer,4,c Chahar b Arshdeep Singh,34,28,3,1,121.42,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Nitish Rana (c),5,c Chahar b Sikandar Raza,24,17,3,1,141.17,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Rinku Singh,6,c Sikandar Raza b Chahar,4,4,0,0,100,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Andre Russell,7,c Sikandar Raza b Curran,35,19,3,2,184.21,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Shardul Thakur,8,not out,8,3,0,1,266.66,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Sunil Narine,9,not out,7,2,0,1,350,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
KL Rahul (c),1,c Patel b Sakariya,8,12,0,1,66.66,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Kyle Mayers,2,b Patel,73,38,2,7,192.1,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Deepak Hooda,3,c Warner b Kuldeep Yadav,17,18,0,0,94.44,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Krunal Pandya,4,not out,15,13,0,1,115.38,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Marcus Stoinis,5,c †Khan b Ahmed,12,10,0,1,120,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Nicholas Pooran †,6,c Shaw b Ahmed,36,21,2,3,171.42,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Ayush Badoni,7,c †Khan b Sakariya,18,7,1,2,257.14,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Krishnappa Gowtham,8,not out,6,1,0,1,600,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Prithvi Shaw,1,b Wood,12,9,2,0,133.33,Delhi Capitals,3rd Match (N), Lucknow, April 01
David Warner (c),2,c Gowtham b Avesh Khan,56,48,7,0,116.66,Delhi Capitals,3rd Match (N), Lucknow, April 01
Mitchell Marsh,3,b Wood,0,1,0,0,0,Delhi Capitals,3rd Match (N), Lucknow, April 01
Sarfaraz Khan †,4,c Gowtham b Wood,4,9,1,0,44.44,Delhi Capitals,3rd Match (N), Lucknow, April 01
Rilee Rossouw,5,c Mayers b Ravi Bishnoi,30,20,3,1,150,Delhi Capitals,3rd Match (N), Lucknow, April 01
Rovman Powell,6,lbw b Ravi Bishnoi,1,3,0,0,33.33,Delhi Capitals,3rd Match (N), Lucknow, April 01
Aman Hakim Khan,7,c †Pooran b Avesh Khan,4,5,0,0,80,Delhi Capitals,3rd Match (N), Lucknow, April 01
Axar Patel,8,c sub (PN Mankad) b Wood,16,11,1,1,145.45,Delhi Capitals,3rd Match (N), Lucknow, April 01
Kuldeep Yadav,9,not out,6,10,0,0,60,Delhi Capitals,3rd Match (N), Lucknow, April 01
Chetan Sakariya,10,c Pandya b Wood,4,4,1,0,100,Delhi Capitals,3rd Match (N), Lucknow, April 01
Mukesh Kumar,11,not out,0,1,0,0,0,Delhi Capitals,3rd Match (N), Lucknow, April 01
Yashasvi Jaiswal,1,c Agarwal b Fazalhaq Farooqi,54,37,9,0,145.94,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Jos Buttler,2,b Fazalhaq Farooqi,54,22,7,3,245.45,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Sanju Samson (c)†,3,c Abhishek Sharma b Natarajan,55,32,3,4,171.87,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Devdutt Padikkal,4,b Umran Malik,2,5,0,0,40,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Riyan Parag,5,c Fazalhaq Farooqi b Natarajan,7,6,1,0,116.66,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Shimron Hetmyer,6,not out,22,16,1,1,137.5,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Ravichandran Ashwin,7,not out,1,2,0,0,50,Rajasthan Royals,4th Match (D/N), Hyderabad, April 02
Abhishek Sharma,1,b Boult,0,3,0,0,0,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Mayank Agarwal,2,c Buttler b Chahal,27,23,3,0,117.39,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Rahul Tripathi,3,c Holder b Boult,0,2,0,0,0,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Harry Brook,4,b Chahal,13,21,1,0,61.9,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Washington Sundar,5,c Hetmyer b Holder,1,5,0,0,20,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Glenn Phillips †,6,c Asif b Ashwin,8,6,0,1,133.33,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Abdul Samad,7,not out,32,32,2,1,100,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Adil Rashid,8,st †Samson b Chahal,18,13,1,1,138.46,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Bhuvneshwar Kumar (c),9,b Chahal,6,10,0,0,60,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Umran Malik,10,not out,19,8,1,2,237.5,Sunrisers Hyderabad,4th Match (D/N), Hyderabad, April 02
Rohit Sharma (c),1,c †Karthik b Akash Deep,1,10,0,0,10,Mumbai Indians,5th Match (N), Bengaluru, April 02
Ishan Kishan †,2,c Patel b Mohammed Siraj,10,13,2,0,76.92,Mumbai Indians,5th Match (N), Bengaluru, April 02
Cameron Green,3,b Topley,5,4,1,0,125,Mumbai Indians,5th Match (N), Bengaluru, April 02
Suryakumar Yadav,4,c Shahbaz Ahmed b Bracewell,15,16,1,0,93.75,Mumbai Indians,5th Match (N), Bengaluru, April 02
Tilak Varma,5,not out,84,46,9,4,182.6,Mumbai Indians,5th Match (N), Bengaluru, April 02
Nehal Wadhera,6,c Kohli b Sharma,21,13,1,2,161.53,Mumbai Indians,5th Match (N), Bengaluru, April 02
Tim David,7,b Sharma,4,7,0,0,57.14,Mumbai Indians,5th Match (N), Bengaluru, April 02
Hrithik Shokeen,8,c du Plessis b Patel,5,3,1,0,166.66,Mumbai Indians,5th Match (N), Bengaluru, April 02
Arshad Khan,9,not out,15,9,0,1,166.66,Mumbai Indians,5th Match (N), Bengaluru, April 02
Virat Kohli,1,not out,82,49,6,5,167.34,Royal Challengers Bangalore,5th Match (N), Bengaluru, April 02
Faf du Plessis (c),2,c David b Arshad Khan,73,43,5,6,169.76,Royal Challengers Bangalore,5th Match (N), Bengaluru, April 02
Dinesh Karthik †,3,c Tilak Varma b Green,0,3,0,0,0,Royal Challengers Bangalore,5th Match (N), Bengaluru, April 02
Glenn Maxwell,4,not out,12,3,0,2,400,Royal Challengers Bangalore,5th Match (N), Bengaluru, April 02
Ruturaj Gaikwad,1,c Wood b Ravi Bishnoi,57,31,3,4,183.87,Chennai Super Kings,6th Match (N), Chennai, April 03
Devon Conway,2,c Pandya b Wood,47,29,5,2,162.06,Chennai Super Kings,6th Match (N), Chennai, April 03
Shivam Dube,3,c Wood b Ravi Bishnoi,27,16,1,3,168.75,Chennai Super Kings,6th Match (N), Chennai, April 03
Moeen Ali,4,st †Pooran b Ravi Bishnoi,19,13,3,0,146.15,Chennai Super Kings,6th Match (N), Chennai, April 03
Ben Stokes,5,c Yash Thakur b Avesh Khan,8,8,1,0,100,Chennai Super Kings,6th Match (N), Chennai, April 03
Ambati Rayudu,6,not out,27,14,2,2,192.85,Chennai Super Kings,6th Match (N), Chennai, April 03
Ravindra Jadeja,7,c Ravi Bishnoi b Wood,3,6,0,0,50,Chennai Super Kings,6th Match (N), Chennai, April 03
MS Dhoni (c)†,8,c Ravi Bishnoi b Wood,12,3,0,2,400,Chennai Super Kings,6th Match (N), Chennai, April 03
Mitchell Santner,9,not out,1,1,0,0,100,Chennai Super Kings,6th Match (N), Chennai, April 03
KL Rahul (c),1,c Gaikwad b Ali,20,18,2,0,111.11,Lucknow Super Giants,6th Match (N), Chennai, April 03
Kyle Mayers,2,c Conway b Ali,53,22,8,2,240.9,Lucknow Super Giants,6th Match (N), Chennai, April 03
Deepak Hooda,3,c Stokes b Santner,2,6,0,0,33.33,Lucknow Super Giants,6th Match (N), Chennai, April 03
Krunal Pandya,4,c Jadeja b Ali,9,9,0,1,100,Lucknow Super Giants,6th Match (N), Chennai, April 03
Marcus Stoinis,5,b Ali,21,18,0,1,116.66,Lucknow Super Giants,6th Match (N), Chennai, April 03
Nicholas Pooran †,6,c Stokes b Deshpande,32,18,2,3,177.77,Lucknow Super Giants,6th Match (N), Chennai, April 03
Ayush Badoni,7,c †Dhoni b Deshpande,23,18,0,0,127.77,Lucknow Super Giants,6th Match (N), Chennai, April 03
Krishnappa Gowtham,8,not out,17,11,0,1,154.54,Lucknow Super Giants,6th Match (N), Chennai, April 03
Mark Wood,9,not out,10,3,1,1,333.33,Lucknow Super Giants,6th Match (N), Chennai, April 03
David Warner (c),1,b Joseph,37,32,7,0,115.62,Delhi Capitals,7th Match (N), Delhi, April 04
Prithvi Shaw,2,c Joseph b Mohammed Shami,7,5,1,0,140,Delhi Capitals,7th Match (N), Delhi, April 04
Mitchell Marsh,3,b Mohammed Shami,4,4,1,0,100,Delhi Capitals,7th Match (N), Delhi, April 04
Sarfaraz Khan,4,c Little b Rashid Khan,30,34,2,0,88.23,Delhi Capitals,7th Match (N), Delhi, April 04
Rilee Rossouw,5,c Tewatia b Joseph,0,1,0,0,0,Delhi Capitals,7th Match (N), Delhi, April 04
Abishek Porel †,6,b Rashid Khan,20,11,0,2,181.81,Delhi Capitals,7th Match (N), Delhi, April 04
Axar Patel,7,c Miller b Mohammed Shami,36,22,2,3,163.63,Delhi Capitals,7th Match (N), Delhi, April 04
Aman Hakim Khan,8,c Pandya b Rashid Khan,8,8,0,1,100,Delhi Capitals,7th Match (N), Delhi, April 04
Kuldeep Yadav,9,not out,1,1,0,0,100,Delhi Capitals,7th Match (N), Delhi, April 04
Anrich Nortje,10,not out,4,2,1,0,200,Delhi Capitals,7th Match (N), Delhi, April 04
Wriddhiman Saha †,1,b Nortje,14,7,2,1,200,Gujarat Titans,7th Match (N), Delhi, April 04
Shubman Gill,2,b Nortje,14,13,3,0,107.69,Gujarat Titans,7th Match (N), Delhi, April 04
Sai Sudharsan,3,not out,62,48,4,2,129.16,Gujarat Titans,7th Match (N), Delhi, April 04
Hardik Pandya (c),4,c †Abishek Porel b Ahmed,5,4,1,0,125,Gujarat Titans,7th Match (N), Delhi, April 04
Vijay Shankar,5,lbw b Marsh,29,23,3,0,126.08,Gujarat Titans,7th Match (N), Delhi, April 04
David Miller,6,not out,31,16,2,2,193.75,Gujarat Titans,7th Match (N), Delhi, April 04
Prabhsimran Singh,1,c Buttler b Holder,60,34,7,3,176.47,Punjab Kings,8th Match (N), Guwahati, April 05
Shikhar Dhawan (c),2,not out,86,56,9,3,153.57,Punjab Kings,8th Match (N), Guwahati, April 05
Bhanuka Rajapaksa,3,retired hurt,1,1,0,0,100,Punjab Kings,8th Match (N), Guwahati, April 05
Jitesh Sharma †,4,c Parag b Chahal,27,16,2,1,168.75,Punjab Kings,8th Match (N), Guwahati, April 05
Sikandar Raza,5,b Ashwin,1,2,0,0,50,Punjab Kings,8th Match (N), Guwahati, April 05
M Shahrukh Khan,6,c Buttler b Holder,11,10,1,0,110,Punjab Kings,8th Match (N), Guwahati, April 05
Sam Curran,7,not out,1,2,0,0,50,Punjab Kings,8th Match (N), Guwahati, April 05
Yashasvi Jaiswal,1,c sub (MW Short) b Arshdeep Singh,11,8,1,1,137.5,Rajasthan Royals,8th Match (N), Guwahati, April 05
Ravichandran Ashwin,2,c S Dhawan b Arshdeep Singh,0,4,0,0,0,Rajasthan Royals,8th Match (N), Guwahati, April 05
Jos Buttler,3,c & b Ellis,19,11,1,1,172.72,Rajasthan Royals,8th Match (N), Guwahati, April 05
Sanju Samson (c)†,4,c sub (MW Short) b Ellis,42,25,5,1,168,Rajasthan Royals,8th Match (N), Guwahati, April 05
Devdutt Padikkal,5,b Ellis,21,26,1,0,80.76,Rajasthan Royals,8th Match (N), Guwahati, April 05
Riyan Parag,6,c Shahrukh Khan b Ellis,20,12,1,2,166.66,Rajasthan Royals,8th Match (N), Guwahati, April 05
Shimron Hetmyer,7,run out (Shahrukh Khan/Curran),36,18,1,3,200,Rajasthan Royals,8th Match (N), Guwahati, April 05
Dhruv Jurel,8,not out,32,15,3,2,213.33,Rajasthan Royals,8th Match (N), Guwahati, April 05
Jason Holder,9,not out,1,1,0,0,100,Rajasthan Royals,8th Match (N), Guwahati, April 05
Rahmanullah Gurbaz †,1,c Akash Deep b Sharma,57,44,6,3,129.54,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Venkatesh Iyer,2,b Willey,3,7,0,0,42.85,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Mandeep Singh,3,b Willey,0,1,0,0,0,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Nitish Rana (c),4,c †Karthik b Bracewell,1,5,0,0,20,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Rinku Singh,5,c †Karthik b Patel,46,33,2,3,139.39,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Andre Russell,6,c Kohli b Sharma,0,1,0,0,0,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Shardul Thakur,7,c Maxwell b Mohammed Siraj,68,29,9,3,234.48,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Sunil Narine,8,not out,0,1,0,0,0,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Umesh Yadav,9,not out,6,2,1,0,300,Kolkata Knight Riders,9th Match (N), Eden Gardens, April 06
Virat Kohli,1,b Narine,21,18,3,0,116.66,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Faf du Plessis (c),2,b Varun,23,12,2,2,191.66,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Michael Bracewell,3,c Rana b Thakur,19,18,1,1,105.55,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Glenn Maxwell,4,b Varun,5,7,1,0,71.42,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Harshal Patel,5,b Varun,0,2,0,0,0,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Shahbaz Ahmed,6,c Thakur b Narine,1,5,0,0,20,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Dinesh Karthik †,7,c Varun b Suyash Sharma,9,8,1,0,112.5,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Anuj Rawat,8,c Narine b Suyash Sharma,1,5,0,0,20,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
David Willey,9,not out,20,20,2,0,100,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Karn Sharma,10,c Rana b Suyash Sharma,1,3,0,0,33.33,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Akash Deep,11,c & b Varun,17,8,2,1,212.5,Royal Challengers Bangalore,9th Match (N), Eden Gardens, April 06
Anmolpreet Singh †,1,lbw b Pandya,31,26,3,1,119.23,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Mayank Agarwal,2,c Stoinis b Pandya,8,7,1,0,114.28,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Rahul Tripathi,3,c Mishra b Yash Thakur,34,41,4,0,82.92,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Aiden Markram (c),4,b Pandya,0,1,0,0,0,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Harry Brook,5,st †Pooran b Ravi Bishnoi,3,4,0,0,75,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Washington Sundar,6,c Hooda b Mishra,16,28,0,0,57.14,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Abdul Samad,7,not out,21,10,1,2,210,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Adil Rashid,8,c Hooda b Mishra,4,3,1,0,133.33,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Umran Malik,9,run out (Hooda/Unadkat),0,0,0,0,-,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Bhuvneshwar Kumar,10,not out,0,0,0,0,-,Sunrisers Hyderabad,10th Match (N), Lucknow, April 07
Kyle Mayers,1,c Agarwal b Fazalhaq Farooqi,13,14,2,0,92.85,Lucknow Super Giants,10th Match (N), Lucknow, April 07
KL Rahul (c),2,lbw b Rashid,35,31,4,0,112.9,Lucknow Super Giants,10th Match (N), Lucknow, April 07
Deepak Hooda,3,c & b Kumar,7,8,0,1,87.5,Lucknow Super Giants,10th Match (N), Lucknow, April 07
Krunal Pandya,4,c †Anmolpreet Singh b Umran Malik,34,23,4,1,147.82,Lucknow Super Giants,10th Match (N), Lucknow, April 07
Marcus Stoinis,5,not out,10,13,2,0,76.92,Lucknow Super Giants,10th Match (N), Lucknow, April 07
Romario Shepherd,6,lbw b Rashid,0,1,0,0,0,Lucknow Super Giants,10th Match (N), Lucknow, April 07
Nicholas Pooran †,7,not out,11,6,1,1,183.33,Lucknow Super Giants,10th Match (N), Lucknow, April 07
Yashasvi Jaiswal,1,c & b Mukesh Kumar,60,31,11,1,193.54,Rajasthan Royals,11th Match (D/N), Guwahati, April 08
Jos Buttler,2,c & b Mukesh Kumar,79,51,11,1,154.9,Rajasthan Royals,11th Match (D/N), Guwahati, April 08
Sanju Samson (c)†,3,c Nortje b Kuldeep Yadav,0,4,0,0,0,Rajasthan Royals,11th Match (D/N), Guwahati, April 08
Riyan Parag,4,b Powell,7,11,0,0,63.63,Rajasthan Royals,11th Match (D/N), Guwahati, April 08
Shimron Hetmyer,5,not out,39,21,1,4,185.71,Rajasthan Royals,11th Match (D/N), Guwahati, April 08
Dhruv Jurel,6,not out,8,3,0,1,266.66,Rajasthan Royals,11th Match (D/N), Guwahati, April 08
Prithvi Shaw,1,c †Samson b Boult,0,3,0,0,0,Delhi Capitals,11th Match (D/N), Guwahati, April 08
David Warner (c),2,lbw b Chahal,65,55,7,0,118.18,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Manish Pandey,3,lbw b Boult,0,1,0,0,0,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Rilee Rossouw,4,c Jaiswal b R Ashwin,14,12,2,0,116.66,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Lalit Yadav,5,b Boult,38,24,5,0,158.33,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Axar Patel,6,st †Samson b Chahal,2,6,0,0,33.33,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Rovman Powell,7,c Hetmyer b R Ashwin,2,2,0,0,100,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Abishek Porel †,8,c Hetmyer b Chahal,7,9,1,0,77.77,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Kuldeep Yadav,9,not out,3,7,0,0,42.85,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Anrich Nortje,10,b Sandeep Sharma,0,1,0,0,0,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Mukesh Kumar,11,not out,1,1,0,0,100,Delhi Capitals,11th Match (D/N), Guwahati, April 08
Rohit Sharma (c),1,b Deshpande,21,13,3,1,161.53,Mumbai Indians,12th Match (N), Wankhede, April 08
Ishan Kishan †,2,c Pretorius b Jadeja,32,21,5,0,152.38,Mumbai Indians,12th Match (N), Wankhede, April 08
Cameron Green,3,c & b Jadeja,12,11,1,0,109.09,Mumbai Indians,12th Match (N), Wankhede, April 08
Suryakumar Yadav,4,c †Dhoni b Santner,1,2,0,0,50,Mumbai Indians,12th Match (N), Wankhede, April 08
Tilak Varma,5,lbw b Jadeja,22,18,2,1,122.22,Mumbai Indians,12th Match (N), Wankhede, April 08
Arshad Khan,6,lbw b Santner,2,4,0,0,50,Mumbai Indians,12th Match (N), Wankhede, April 08
Tim David,7,c Rahane b Deshpande,31,22,1,2,140.9,Mumbai Indians,12th Match (N), Wankhede, April 08
Tristan Stubbs,8,c Gaikwad b Magala,5,10,0,0,50,Mumbai Indians,12th Match (N), Wankhede, April 08
Hrithik Shokeen,9,not out,18,13,3,0,138.46,Mumbai Indians,12th Match (N), Wankhede, April 08
Piyush Chawla,10,not out,5,6,0,0,83.33,Mumbai Indians,12th Match (N), Wankhede, April 08
Devon Conway,1,b Behrendorff,0,4,0,0,0,Chennai Super Kings,12th Match (N), Wankhede, April 08
Ruturaj Gaikwad,2,not out,40,36,2,1,111.11,Chennai Super Kings,12th Match (N), Wankhede, April 08
Ajinkya Rahane,3,c Yadav b Chawla,61,27,7,3,225.92,Chennai Super Kings,12th Match (N), Wankhede, April 08
Shivam Dube,4,b Kartikeya,28,26,2,1,107.69,Chennai Super Kings,12th Match (N), Wankhede, April 08
Ambati Rayudu,5,not out,20,16,3,0,125,Chennai Super Kings,12th Match (N), Wankhede, April 08
Wriddhiman Saha †,1,c Jagadeesan b Narine,17,17,3,0,100,Gujarat Titans,13th Match (D/N), Ahmedabad, April 09
Shubman Gill,2,c Yadav b Narine,39,31,5,0,125.8,Gujarat Titans,13th Match (D/N), Ahmedabad, April 09
Sai Sudharsan,3,c sub (AS Roy) b Narine,53,38,3,2,139.47,Gujarat Titans,13th Match (D/N), Ahmedabad, April 09
Abhinav Manohar,4,b Suyash Sharma,14,8,3,0,175,Gujarat Titans,13th Match (D/N), Ahmedabad, April 09
Vijay Shankar,5,not out,63,24,4,5,262.5,Gujarat Titans,13th Match (D/N), Ahmedabad, April 09
David Miller,6,not out,2,3,0,0,66.66,Gujarat Titans,13th Match (D/N), Ahmedabad, April 09
Rahmanullah Gurbaz †,1,c Yash Dayal b Mohammed Shami,15,12,1,1,125,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Narayan Jagadeesan,2,c Manohar b Little,6,8,1,0,75,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Venkatesh Iyer,3,c Shubman Gill b Joseph,83,40,8,5,207.5,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Nitish Rana (c),4,c Mohammed Shami b Joseph,45,29,4,3,155.17,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Rinku Singh,5,not out,48,21,1,6,228.57,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Andre Russell,6,c sub (†KS Bharat) b Rashid Khan,1,2,0,0,50,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Sunil Narine,7,c sub (J Yadav) b Rashid Khan,0,1,0,0,0,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Shardul Thakur,8,lbw b Rashid Khan,0,1,0,0,0,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Umesh Yadav,9,not out,5,6,0,0,83.33,Kolkata Knight Riders,13th Match (D/N), Ahmedabad, April 09
Prabhsimran Singh,1,lbw b Kumar,0,1,0,0,0,Punjab Kings,14th Match (N), Hyderabad, April 09
Shikhar Dhawan (c),2,not out,99,66,12,5,150,Punjab Kings,14th Match (N), Hyderabad, April 09
Matthew Short,3,lbw b Jansen,1,3,0,0,33.33,Punjab Kings,14th Match (N), Hyderabad, April 09
Jitesh Sharma †,4,c Markram b Jansen,4,9,1,0,44.44,Punjab Kings,14th Match (N), Hyderabad, April 09
Sam Curran,5,c Kumar b Markande,22,15,3,1,146.66,Punjab Kings,14th Match (N), Hyderabad, April 09
Sikandar Raza,6,c Agarwal b Umran Malik,5,6,0,0,83.33,Punjab Kings,14th Match (N), Hyderabad, April 09
M Shahrukh Khan,7,lbw b Markande,4,3,1,0,133.33,Punjab Kings,14th Match (N), Hyderabad, April 09
Harpreet Brar,8,b Umran Malik,1,2,0,0,50,Punjab Kings,14th Match (N), Hyderabad, April 09
Rahul Chahar,9,lbw b Markande,0,8,0,0,0,Punjab Kings,14th Match (N), Hyderabad, April 09
Nathan Ellis,10,b Markande,0,5,0,0,0,Punjab Kings,14th Match (N), Hyderabad, April 09
Mohit Rathee,11,not out,1,2,0,0,50,Punjab Kings,14th Match (N), Hyderabad, April 09
Harry Brook,1,b Arshdeep Singh,13,14,3,0,92.85,Sunrisers Hyderabad,14th Match (N), Hyderabad, April 09
