"selection1_Bowler_name","selection1_Bowler_overs","selection1_Bowler_Runs","selection1_Bowler_wickets","selection1_Bowler_maidens","selection1_Bowler_Economy","selection1_Bowler_Dot_balls","selection1_Bowler_Fours","selection1_Bowler_Sixes","selection1_Bowler_wide_balls","selection1_Bowler_No_balls","selection1_Bowler_Match_no","selection1_Bowler_Team"
"Trent Boult","4","38","0","0","9.50","8","3","2","1","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Rajasthan Royals"
"KM Asif","4","54","0","0","13.50","7","5","3","3","1","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Rajasthan Royals"
"Ravichandran Ashwin","4","25","1","0","6.25","7","2","0","1","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Jason Holder","4","29","2","0","7.25","7","2","1","0","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","4","50","1","0","12.50","5","7","1","1","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Sam Curran","4","44","0","0","11.00","7","3","3","0","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Punjab Kings"
"Arshdeep Singh","4","47","2","0","11.75","10","4","3","3","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Harpreet Brar","2","15","0","0","7.50","5","2","0","0","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Punjab Kings"
"Nathan Ellis","4","30","4","0","7.50","11","2","2","0","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Rahul Chahar","4","31","0","0","7.75","5","1","1","0","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Punjab Kings"
"Sikandar Raza","2","24","0","0","12.00","2","1","1","2","0","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League","Punjab Kings"
"Mohammed Siraj","4","44","1","0","11.00","13","6","1","3","1","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"David Willey","4","16","2","1","4.00","15","2","0","1","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Akash Deep","2","30","0","0","15.00","4","2","2","1","2","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Michael Bracewell","3","34","1","0","11.33","3","1","3","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Shahbaz Ahmed","1","6","0","0","6.00","3","1","0","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Karn Sharma","3","26","2","0","8.66","6","2","1","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","3","38","1","0","12.66","5","4","2","1","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Umesh Yadav","2","17","0","0","8.50","5","3","0","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Kolkata Knight Riders"
"Tim Southee","2","25","0","0","12.50","5","2","2","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","4","16","2","0","4.00","12","1","0","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Varun Chakravarthy","3.4","15","4","0","4.09","13","2","0","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Suyash Sharma","4","30","3","0","7.50","11","2","2","1","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Kolkata Knight Riders"
"Shardul Thakur","2","15","1","0","7.50","4","2","0","0","0","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Kyle Mayers","1","5","0","0","5.00","1","0","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Jaydev Unadkat","3","26","0","0","8.66","9","0","3","1","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Krunal Pandya","4","18","3","0","4.50","15","3","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Yash Thakur","3","23","1","0","7.66","6","3","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Ravi Bishnoi","4","16","1","0","4.00","10","0","0","1","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Deepak Hooda","1","8","0","0","8.00","1","1","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Amit Mishra","4","23","2","0","5.75","10","3","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Bhuvneshwar Kumar","2","19","1","0","9.50","7","1","1","1","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Washington Sundar","1","11","0","0","11.00","1","2","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Fazalhaq Farooqi","3","13","1","0","4.33","12","2","0","1","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Aiden Markram","2","14","0","0","7.00","5","2","0","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Adil Rashid","3","23","2","0","7.66","8","2","1","0","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"T Natarajan","3","23","0","0","7.66","7","1","1","1","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Umran Malik","2","22","1","0","11.00","7","3","0","2","0","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Khaleel Ahmed","2","31","0","0","15.50","3","6","0","2","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Delhi Capitals"
"Anrich Nortje","4","44","0","0","11.00","10","6","2","0","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Delhi Capitals"
"Mukesh Kumar","4","36","2","0","9.00","8","3","2","0","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Axar Patel","4","38","0","0","9.50","6","5","1","0","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Delhi Capitals"
"Kuldeep Yadav","4","31","1","0","7.75","8","2","1","0","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Rovman Powell","2","18","1","0","9.00","4","1","1","1","1","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Trent Boult","4","29","3","1","7.25","11","5","0","0","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Sandeep Sharma","4","20","1","0","5.00","11","2","0","1","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Rajasthan Royals"
"Ravichandran Ashwin","4","25","2","0","6.25","10","2","0","3","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Jason Holder","3","28","0","0","9.33","4","4","0","1","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Rajasthan Royals"
"Yuzvendra Chahal","4","27","3","0","6.75","8","2","0","2","0","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Murugan Ashwin","1","11","0","0","11.00","0","0","0","0","1","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League","Rajasthan Royals"
"Deepak Chahar","1","10","0","0","10.00","2","2","0","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Chennai Super Kings"
"Tushar Deshpande","3","31","2","0","10.33","9","2","3","1","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Sisanda Magala","4","37","1","0","9.25","4","5","0","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Mitchell Santner","4","28","2","0","7.00","6","3","0","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Ravindra Jadeja","4","20","3","0","5.00","9","0","1","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Dwaine Pretorius","4","28","0","0","7.00","9","3","0","4","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Chennai Super Kings"
"Jason Behrendorff","3","24","1","0","8.00","9","2","1","1","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Arshad Khan","2.1","35","0","0","16.15","2","5","1","3","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Mumbai Indians"
"Cameron Green","3","20","0","0","6.66","6","0","1","1","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","4","33","1","0","8.25","8","5","0","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Kumar Kartikeya","4","24","1","0","6.00","6","0","1","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Mumbai Indians"
"Hrithik Shokeen","2","19","0","0","9.50","4","2","1","0","0","12th Match (N), Wankhede, April 08, 2023,
Indian Premier League","Mumbai Indians"
"Umesh Yadav","3","24","0","0","8.00","7","4","0","1","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Kolkata Knight Riders"
"Shardul Thakur","3","40","0","0","13.33","4","3","3","1","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Kolkata Knight Riders"
"Lockie Ferguson","4","40","0","0","10.00","8","3","2","1","1","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","4","33","3","0","8.25","8","3","1","1","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Varun Chakravarthy","2","27","0","0","13.50","1","2","1","1","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","35","1","0","8.75","6","3","0","1","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Mohammed Shami","4","28","1","0","7.00","10","2","1","0","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Josh Little","4","45","1","0","11.25","9","4","3","3","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Alzarri Joseph","4","27","2","0","6.75","14","2","2","0","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Yash Dayal","4","69","0","0","17.25","4","3","8","0","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","37","3","0","9.25","6","4","1","0","0","13th Match (D/N), Ahmedabad, April 09, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Bhuvneshwar Kumar","4","33","1","0","8.25","13","6","0","3","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Marco Jansen","3","16","2","1","5.33","14","2","1","1","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"T Natarajan","4","40","0","0","10.00","10","3","3","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Washington Sundar","1","6","0","0","6.00","3","1","0","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Markande","4","15","4","0","3.75","15","2","0","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
