"selection1_Bowler_name","selection1_Bowler_overs","selection1_Bowler_Runs","selection1_Bowler_wickets","selection1_Bowler_maidens","selection1_Bowler_Economy","selection1_Bowler_Dot_balls","selection1_Bowler_Fours","selection1_Bowler_Sixes","selection1_Bowler_wide_balls","selection1_Bowler_No_balls","selection1_Bowler_Match_no","selection1_Bowler_Team"
"See all photos","","","","","","","","","","","",""
"Mukesh Kumar","4","34","1","0","8.50","15","2","3","4","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Anrich Nortje","4","20","2","0","5.00","16","3","0","2","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Axar Patel","3","13","2","0","4.33","12","2","0","0","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mitchell Marsh","2","25","0","0","12.50","2","1","2","2","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Delhi Capitals"
"Kuldeep Yadav","3","15","2","0","5.00","9","0","1","1","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Umesh Yadav","1","6","0","0","6.00","3","1","0","0","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"Kulwant Khejroliya","1.2","20","0","0","15.00","2","3","0","0","1","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"Andre Russell","1","12","0","0","12.00","3","2","0","0","1","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","4","36","0","0","9.00","7","6","0","1","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"Varun Chakravarthy","4","16","2","1","4.00","14","2","0","0","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Anukul Roy","4","19","2","0","4.75","13","2","0","2","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Nitish Rana","4","17","2","0","4.25","10","1","0","0","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Kolkata Knight Riders"
"Akash Singh","3","17","1","0","5.66","10","1","1","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Tushar Deshpande","3","26","0","0","8.66","7","4","0","1","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Chennai Super Kings"
"Maheesh Theekshana","4","27","1","0","6.75","5","2","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","2","18","0","0","9.00","2","1","1","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Chennai Super Kings"
"Ravindra Jadeja","4","22","3","0","5.50","8","1","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Matheesha Pathirana","4","22","1","0","5.50","9","2","0","1","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Bhuvneshwar Kumar","2","10","0","0","5.00","7","1","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Marco Jansen","3","37","0","0","12.33","5","6","1","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Aiden Markram","1","11","0","0","11.00","2","2","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Washington Sundar","2.4","16","0","0","6.00","4","1","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Markande","4","23","2","0","5.75","8","2","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Umran Malik","3","18","0","0","6.00","8","2","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Dagar","3","21","0","0","7.00","5","2","0","0","0","29th Match (N), Chennai, April 21, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Naveen-ul-Haq","4","19","1","0","4.75","12","1","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Krunal Pandya","4","16","2","0","4.00","13","1","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Avesh Khan","3","21","0","0","7.00","6","2","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Lucknow Super Giants"
"Ravi Bishnoi","4","49","0","0","12.25","4","4","3","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Lucknow Super Giants"
"Marcus Stoinis","3","20","2","0","6.66","7","1","1","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Amit Mishra","2","9","1","0","4.50","4","0","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Mohammed Shami","3","18","0","1","6.00","9","3","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"Jayant Yadav","4","26","0","0","6.50","8","2","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","33","1","0","8.25","9","4","1","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Mohit Sharma","3","17","2","0","5.66","5","1","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Noor Ahmad","4","18","2","0","4.50","13","1","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Hardik Pandya","1","7","0","0","7.00","2","1","0","0","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"Rahul Tewatia","1","8","0","0","8.00","4","0","1","1","0","30th Match (D/N), Lucknow, April 22, 2023,
Indian Premier League","Gujarat Titans"
"Arjun Tendulkar","3","48","1","0","16.00","4","6","2","4","1","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Jason Behrendorff","3","41","1","0","13.66","6","2","4","1","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Mumbai Indians"
"Cameron Green","4","41","2","0","10.25","9","2","4","0","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Jofra Archer","4","42","1","0","10.50","8","3","3","1","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","3","15","2","0","5.00","12","2","0","1","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Hrithik Shokeen","3","24","0","0","8.00","7","1","1","0","1","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Mumbai Indians"
"Matthew Short","1","7","0","0","7.00","3","1","0","1","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"Arshdeep Singh","4","29","4","0","7.25","12","2","2","1","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Harpreet Brar","2","15","0","0","7.50","5","1","1","0","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"Sam Curran","3","41","0","0","13.66","2","3","3","1","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"Nathan Ellis","4","44","1","0","11.00","5","2","3","0","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"Rahul Chahar","4","42","0","0","10.50","4","4","2","0","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"Liam Livingstone","2","23","1","0","11.50","2","4","0","0","0","31st Match (N), Wankhede, April 22, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Trent Boult","4","41","2","0","10.25","8","6","0","1","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Sandeep Sharma","4","49","2","0","12.25","9","7","2","1","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Ravichandran Ashwin","4","36","1","0","9.00","7","2","2","1","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","4","28","1","0","7.00","7","0","1","2","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Jason Holder","4","32","0","0","8.00","6","3","1","0","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Rajasthan Royals"
"Mohammed Siraj","4","39","1","0","9.75","8","4","1","3","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"David Willey","4","26","1","0","6.50","11","2","1","1","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Vijaykumar Vyshak","2","24","0","0","12.00","4","5","0","1","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Glenn Maxwell","2","25","0","0","12.50","3","2","2","0","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Harshal Patel","4","32","3","0","8.00","8","3","1","1","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wanindu Hasaranga","4","32","0","0","8.00","5","2","1","0","0","32nd Match (D/N), Bengaluru, April 23, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Umesh Yadav","3","35","0","0","11.66","7","3","3","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"David Wiese","3","38","0","0","12.66","3","3","2","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"Varun Chakravarthy","4","49","1","0","12.25","8","2","5","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"Kulwant Khejroliya","3","44","2","0","14.66","5","2","4","0","1","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","2","23","0","0","11.50","3","1","2","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","29","1","0","7.25","8","2","1","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"Andre Russell","1","17","0","0","17.00","0","1","1","2","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Kolkata Knight Riders"
"Akash Singh","4","29","1","0","7.25","13","4","1","1","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Chennai Super Kings"
"Tushar Deshpande","4","43","2","0","10.75","12","3","3","4","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Maheesh Theekshana","4","32","2","0","8.00","8","3","1","1","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","1","20","1","0","20.00","1","0","3","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Ravindra Jadeja","3","34","1","0","11.33","5","2","3","0","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Chennai Super Kings"
"Matheesha Pathirana","4","27","1","0","6.75","11","2","1","3","0","33rd Match (N), Eden Gardens, April 23, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Bhuvneshwar Kumar","4","11","2","0","2.75","16","1","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Marco Jansen","2","27","0","0","13.50","4","4","1","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Washington Sundar","4","28","3","0","7.00","10","2","1","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"T Natarajan","3","21","1","0","7.00","3","2","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Mayank Markande","4","34","0","0","8.50","7","4","0","1","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Umran Malik","2","14","0","0","7.00","4","2","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Aiden Markram","1","7","0","0","7.00","0","0","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Ishant Sharma","3","18","1","0","6.00","8","2","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Anrich Nortje","4","33","2","0","8.25","10","4","1","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mukesh Kumar","3","27","0","0","9.00","4","4","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Delhi Capitals"
"Axar Patel","4","21","2","0","5.25","8","1","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Kuldeep Yadav","4","22","1","0","5.50","6","1","0","0","0","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Delhi Capitals"
"Mitchell Marsh","2","16","0","0","8.00","3","1","0","0","1","34th Match (N), Hyderabad, April 24, 2023,
Indian Premier League","Delhi Capitals"
"Arjun Tendulkar","2","9","1","0","4.50","7","0","0","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Jason Behrendorff","4","37","1","0","9.25","8","2","2","2","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Riley Meredith","4","49","1","0","12.25","6","4","3","2","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Cameron Green","2","39","0","0","19.50","0","2","4","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","4","34","2","0","8.50","7","3","1","1","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Kumar Kartikeya","4","39","1","0","9.75","7","3","2","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Mohammed Shami","4","18","0","0","4.50","14","2","0","1","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Gujarat Titans"
"Hardik Pandya","2","10","1","0","5.00","8","0","1","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Rashid Khan","4","27","2","0","6.75","10","2","1","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Noor Ahmad","4","37","3","0","9.25","10","2","3","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Mohit Sharma","4","38","2","0","9.50","7","1","3","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Josh Little","2","18","0","0","9.00","2","1","1","0","0","35th Match (N), Ahmedabad, April 25, 2023,
Indian Premier League","Gujarat Titans"
"Mohammed Siraj","4","33","1","0","8.25","11","5","1","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"David Willey","3","31","0","0","10.33","5","4","1","1","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Wanindu Hasaranga","4","24","2","0","6.00","10","3","0","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Shahbaz Ahmed","1","25","0","0","25.00","1","0","4","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Vijaykumar Vyshak","4","41","2","0","10.25","3","2","2","3","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","4","44","0","0","11.00","7","2","4","1","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Vaibhav Arora","2","22","0","0","11.00","3","3","0","1","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"Umesh Yadav","1","19","0","0","19.00","0","1","2","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","30","2","0","7.50","5","3","0","1","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Varun Chakravarthy","4","27","3","0","6.75","9","2","1","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Andre Russell","4","29","2","0","7.25","11","1","2","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Sunil Narine","4","41","0","0","10.25","2","1","2","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"Nitish Rana","1","8","0","0","8.00","1","1","0","0","0","36th Match (N), Bengaluru, April 26, 2023,
Indian Premier League","Kolkata Knight Riders"
"Akash Singh","2","32","0","0","16.00","3","6","1","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Chennai Super Kings"
"Tushar Deshpande","4","42","2","0","10.50","10","5","2","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Maheesh Theekshana","4","24","1","0","6.00","11","3","0","1","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Ravindra Jadeja","4","32","1","0","8.00","6","2","1","1","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","2","17","0","0","8.50","2","0","1","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Chennai Super Kings"
"Matheesha Pathirana","4","48","0","0","12.00","5","5","1","2","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Chennai Super Kings"
"Sandeep Sharma","4","24","0","0","6.00","10","3","0","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Rajasthan Royals"
"Kuldip Yadav","3","18","1","0","6.00","4","1","0","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Jason Holder","4","49","0","0","12.25","4","4","3","1","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Rajasthan Royals"
"Ravichandran Ashwin","4","35","2","0","8.75","7","1","2","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Adam Zampa","3","22","3","0","7.33","7","2","1","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","2","21","0","0","10.50","3","2","1","0","0","37th Match (N), Jaipur, April 27, 2023,
Indian Premier League","Rajasthan Royals"
"Gurnoor Brar","3","42","0","0","14.00","7","4","3","1","2","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"Arshdeep Singh","4","54","1","0","13.50","4","10","0","2","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"Kagiso Rabada","4","52","2","0","13.00","12","3","5","2","2","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Sikandar Raza","1","17","0","0","17.00","2","1","2","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"Rahul Chahar","4","29","0","0","7.25","8","2","1","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"Sam Curran","3","38","1","0","12.66","5","4","2","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"Liam Livingstone","1","19","1","0","19.00","1","3","1","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Marcus Stoinis","1.5","21","1","0","11.45","5","2","1","4","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Kyle Mayers","1","4","0","0","4.00","5","1","0","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Ayush Badoni","0.1","0","0","0","0.00","1","0","0","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Naveen-ul-Haq","4","30","3","0","7.50","11","2","0","1","1","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Avesh Khan","2","28","0","0","14.00","1","3","1","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Amit Mishra","2","23","0","0","11.50","1","2","1","0","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Ravi Bishnoi","4","41","2","0","10.25","9","4","2","0","1","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Yash Thakur","3.5","37","4","0","9.65","9","3","2","1","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Krunal Pandya","1","13","0","0","13.00","2","1","1","1","0","38th Match (N), Mohali, April 28, 2023,
Indian Premier League","Lucknow Super Giants"
"Mohammed Shami","4","33","3","0","8.25","12","3","2","0","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Hardik Pandya","3","34","0","0","11.33","9","3","3","1","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","54","0","0","13.50","3","3","4","1","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Gujarat Titans"
"Josh Little","4","25","2","0","6.25","12","2","1","0","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Noor Ahmad","4","21","2","0","5.25","12","1","1","1","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Gujarat Titans"
"Mohit Sharma","1","12","0","0","12.00","1","0","1","0","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Gujarat Titans"
"Harshit Rana","3","25","1","0","8.33","6","4","0","1","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Andre Russell","3","29","1","0","9.66","6","3","1","1","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Varun Chakravarthy","4","42","0","0","10.50","7","3","3","0","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","37","0","0","9.25","7","3","2","0","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","3","24","1","0","8.00","3","1","1","0","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Kolkata Knight Riders"
"Nitish Rana","0.5","14","0","0","16.80","0","1","1","1","0","39th Match (D/N), Eden Gardens, April 29, 2023,
Indian Premier League","Kolkata Knight Riders"
"Ishant Sharma","3","31","1","0","10.33","9","7","0","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Anrich Nortje","4","44","0","0","11.00","4","4","1","2","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Delhi Capitals"
"Mukesh Kumar","2","38","0","0","19.00","2","4","2","2","1","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Delhi Capitals"
"Mitchell Marsh","4","27","4","1","6.75","12","1","2","2","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Kuldeep Yadav","3","27","0","0","9.00","4","1","2","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Delhi Capitals"
"Axar Patel","4","29","1","0","7.25","7","0","2","2","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Bhuvneshwar Kumar","4","45","1","0","11.25","5","3","2","3","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Akeal Hosein","4","40","1","0","10.00","6","4","2","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Sunrisers Hyderabad"
"T Natarajan","4","34","1","0","8.50","4","2","1","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Umran Malik","1","22","0","0","22.00","0","2","2","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Markande","4","20","2","0","5.00","7","1","0","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Abhishek Sharma","3","26","1","0","8.66","5","2","1","0","0","40th Match (N), Delhi, April 29, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Arshdeep Singh","4","37","1","0","9.25","8","5","0","3","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
