bowler,overs,runs,wickets,maidens,economy,dot_balls,fours,sixes,wide_balls,no_balls,Match_id,team
Nathan Ellis,3.0,28.0,0,0.0,9.33,5.0,5.0,0.0,0.0,0.0,14th,Punjab Kings
Rahul Chahar,3.0,28.0,1,0.0,9.33,8.0,4.0,1.0,0.0,0.0,14th,Punjab Kings
Mohit Rathee,2.0,29.0,0,0.0,14.5,3.0,3.0,2.0,0.0,0.0,14th,Punjab Kings
Jaydev Unadkat,2.0,27.0,0,0.0,13.5,3.0,2.0,2.0,1.0,0.0,15th,Lucknow Super Giants
Avesh Khan,4.0,53.0,0,0.0,13.25,8.0,5.0,4.0,0.0,0.0,15th,Lucknow Super Giants
Krunal Pandya,4.0,35.0,0,0.0,8.75,5.0,2.0,2.0,0.0,0.0,15th,Lucknow Super Giants
Mark Wood,4.0,32.0,1,1.0,8.0,12.0,1.0,3.0,2.0,0.0,15th,Lucknow Super Giants
Ravi Bishnoi,4.0,39.0,0,0.0,9.75,5.0,1.0,3.0,1.0,0.0,15th,Lucknow Super Giants
Amit Mishra,2.0,18.0,1,0.0,9.0,2.0,1.0,1.0,0.0,0.0,15th,Lucknow Super Giants
Mohammed Siraj,4.0,22.0,3,0.0,5.5,16.0,3.0,0.0,4.0,0.0,15th,Royal Challengers Bangalore
David Willey,4.0,32.0,0,0.0,8.0,6.0,2.0,1.0,1.0,0.0,15th,Royal Challengers Bangalore
Wayne Parnell,4.0,41.0,3,0.0,10.25,6.0,5.0,1.0,3.0,0.0,15th,Royal Challengers Bangalore
Harshal Patel,4.0,48.0,2,0.0,12.0,5.0,4.0,3.0,0.0,0.0,15th,Royal Challengers Bangalore
Karn Sharma,3.0,48.0,1,0.0,16.0,5.0,3.0,5.0,1.0,0.0,15th,Royal Challengers Bangalore
Shahbaz Ahmed,1.0,15.0,0,0.0,15.0,1.0,0.0,2.0,0.0,0.0,15th,Royal Challengers Bangalore
Jason Behrendorff,3.0,23.0,3,0.0,7.66,8.0,1.0,2.0,0.0,0.0,16th,Mumbai Indians
Arshad Khan,1.0,12.0,0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,16th,Mumbai Indians
Cameron Green,3.0,30.0,0,0.0,10.0,4.0,5.0,0.0,1.0,0.0,16th,Mumbai Indians
Hrithik Shokeen,4.0,43.0,1,0.0,10.75,10.0,4.0,2.0,1.0,1.0,16th,Mumbai Indians
