batsmen,Batting Pos,out_notout,runs,balls,fours,sixes,sr,team,Match_id,Ground,Date
Faf du Plessis,2,out,17,7.0,1.0,2.0,242.85,Royal Challengers Bangalore,36th, Bengaluru, April 26
Shahbaz Ahmed,3,out,2,5.0,0.0,0.0,40,Royal Challengers Bangalore,36th, Bengaluru, April 26
Glenn Maxwell,4,out,5,4.0,1.0,0.0,125,Royal Challengers Bangalore,36th, Bengaluru, April 26
Mahipal Lomror,5,out,34,18.0,1.0,3.0,188.88,Royal Challengers Bangalore,36th, Bengaluru, April 26
Dinesh Karthik †,6,out,22,18.0,1.0,1.0,122.22,Royal Challengers Bangalore,36th, Bengaluru, April 26
Suyash Prabhudessai,7,out,10,9.0,1.0,0.0,111.11,Royal Challengers Bangalore,36th, Bengaluru, April 26
Wanindu Hasaranga,8,out,5,4.0,0.0,0.0,125,Royal Challengers Bangalore,36th, Bengaluru, April 26
David Willey,9,not out,11,10.0,1.0,0.0,110,Royal Challengers Bangalore,36th, Bengaluru, April 26
Vijaykumar Vyshak,10,not out,13,8.0,0.0,1.0,162.5,Royal Challengers Bangalore,36th, Bengaluru, April 26
Yashasvi Jaiswal,1,out,77,43.0,8.0,4.0,179.06,Rajasthan Royals,37th, Jaipur, April 27
Jos Buttler,2,out,27,21.0,4.0,0.0,128.57,Rajasthan Royals,37th, Jaipur, April 27
Sanju Samson (c)†,3,out,17,17.0,1.0,0.0,100,Rajasthan Royals,37th, Jaipur, April 27
Shimron Hetmyer,4,out,8,10.0,0.0,0.0,80,Rajasthan Royals,37th, Jaipur, April 27
Dhruv Jurel,5,out,34,15.0,3.0,2.0,226.66,Rajasthan Royals,37th, Jaipur, April 27
Devdutt Padikkal,6,not out,27,13.0,5.0,0.0,207.69,Rajasthan Royals,37th, Jaipur, April 27
Ravichandran Ashwin,7,not out,1,1.0,0.0,0.0,100,Rajasthan Royals,37th, Jaipur, April 27
Ruturaj Gaikwad,1,out,47,29.0,5.0,1.0,162.06,Chennai Super Kings,37th, Jaipur, April 27
Devon Conway,2,out,8,16.0,1.0,0.0,50,Chennai Super Kings,37th, Jaipur, April 27
Ajinkya Rahane,3,out,15,13.0,0.0,0.0,115.38,Chennai Super Kings,37th, Jaipur, April 27
Shivam Dube,4,out,52,33.0,2.0,4.0,157.57,Chennai Super Kings,37th, Jaipur, April 27
Ambati Rayudu,5,out,0,2.0,0.0,0.0,0,Chennai Super Kings,37th, Jaipur, April 27
Moeen Ali,6,out,23,12.0,2.0,2.0,191.66,Chennai Super Kings,37th, Jaipur, April 27
Ravindra Jadeja,7,not out,23,15.0,3.0,0.0,153.33,Chennai Super Kings,37th, Jaipur, April 27
KL Rahul (c),1,out,12,9.0,1.0,1.0,133.33,Lucknow Super Giants,38th, Mohali, April 28
Kyle Mayers,2,out,54,24.0,7.0,4.0,225,Lucknow Super Giants,38th, Mohali, April 28
Ayush Badoni,3,out,43,24.0,3.0,3.0,179.16,Lucknow Super Giants,38th, Mohali, April 28
Marcus Stoinis,4,out,72,40.0,6.0,5.0,180,Lucknow Super Giants,38th, Mohali, April 28
Nicholas Pooran †,5,out,45,19.0,7.0,1.0,236.84,Lucknow Super Giants,38th, Mohali, April 28
Deepak Hooda,6,not out,11,6.0,2.0,0.0,183.33,Lucknow Super Giants,38th, Mohali, April 28
Krunal Pandya,7,not out,5,2.0,1.0,0.0,250,Lucknow Super Giants,38th, Mohali, April 28
Prabhsimran Singh,1,out,9,13.0,2.0,0.0,69.23,Punjab Kings,38th, Mohali, April 28
Shikhar Dhawan (c),2,out,1,2.0,0.0,0.0,50,Punjab Kings,38th, Mohali, April 28
Atharva Taide,3,out,66,36.0,8.0,2.0,183.33,Punjab Kings,38th, Mohali, April 28
Sikandar Raza,4,out,36,22.0,4.0,1.0,163.63,Punjab Kings,38th, Mohali, April 28
Liam Livingstone,5,out,23,14.0,2.0,1.0,164.28,Punjab Kings,38th, Mohali, April 28
Sam Curran,6,out,21,11.0,2.0,1.0,190.9,Punjab Kings,38th, Mohali, April 28
Jitesh Sharma †,7,out,24,10.0,0.0,3.0,240,Punjab Kings,38th, Mohali, April 28
M Shahrukh Khan,8,out,6,9.0,0.0,0.0,66.66,Punjab Kings,38th, Mohali, April 28
Rahul Chahar,9,out,0,1.0,0.0,0.0,0,Punjab Kings,38th, Mohali, April 28
Kagiso Rabada,10,out,0,1.0,0.0,0.0,0,Punjab Kings,38th, Mohali, April 28
Arshdeep Singh,11,not out,2,2.0,0.0,0.0,100,Punjab Kings,38th, Mohali, April 28
Narayan Jagadeesan †,1,out,19,15.0,4.0,0.0,126.66,Kolkata Knight Riders,39th, Eden Gardens, April 29
Rahmanullah Gurbaz,2,out,81,39.0,5.0,7.0,207.69,Kolkata Knight Riders,39th, Eden Gardens, April 29
Shardul Thakur,3,out,0,4.0,0.0,0.0,0,Kolkata Knight Riders,39th, Eden Gardens, April 29
Venkatesh Iyer,4,out,11,14.0,0.0,0.0,78.57,Kolkata Knight Riders,39th, Eden Gardens, April 29
Nitish Rana (c),5,out,4,3.0,1.0,0.0,133.33,Kolkata Knight Riders,39th, Eden Gardens, April 29
Rinku Singh,6,out,19,20.0,0.0,1.0,95,Kolkata Knight Riders,39th, Eden Gardens, April 29
Andre Russell,7,out,34,19.0,2.0,3.0,178.94,Kolkata Knight Riders,39th, Eden Gardens, April 29
David Wiese,8,not out,8,6.0,0.0,1.0,133.33,Kolkata Knight Riders,39th, Eden Gardens, April 29
Wriddhiman Saha †,1,out,10,10.0,1.0,0.0,100,Gujarat Titans,39th, Eden Gardens, April 29
Shubman Gill,2,out,49,35.0,8.0,0.0,140,Gujarat Titans,39th, Eden Gardens, April 29
Hardik Pandya (c),3,out,26,20.0,2.0,1.0,130,Gujarat Titans,39th, Eden Gardens, April 29
Vijay Shankar,4,not out,51,24.0,2.0,5.0,212.5,Gujarat Titans,39th, Eden Gardens, April 29
David Miller,5,not out,32,18.0,2.0,2.0,177.77,Gujarat Titans,39th, Eden Gardens, April 29
Abhishek Sharma,1,out,67,36.0,12.0,1.0,186.11,Sunrisers Hyderabad,40th, Delhi, April 29
Mayank Agarwal,2,out,5,6.0,1.0,0.0,83.33,Sunrisers Hyderabad,40th, Delhi, April 29
Rahul Tripathi,3,out,10,6.0,0.0,1.0,166.66,Sunrisers Hyderabad,40th, Delhi, April 29
Aiden Markram (c),4,out,8,13.0,0.0,0.0,61.53,Sunrisers Hyderabad,40th, Delhi, April 29
Harry Brook,5,out,0,2.0,0.0,0.0,0,Sunrisers Hyderabad,40th, Delhi, April 29
Heinrich Klaasen †,6,not out,53,27.0,2.0,4.0,196.29,Sunrisers Hyderabad,40th, Delhi, April 29
Abdul Samad,7,out,28,21.0,1.0,2.0,133.33,Sunrisers Hyderabad,40th, Delhi, April 29
Akeal Hosein,8,not out,16,10.0,1.0,1.0,160,Sunrisers Hyderabad,40th, Delhi, April 29
David Warner (c),1,out,0,2.0,0.0,0.0,0,Delhi Capitals,40th, Delhi, April 29
Phil Salt †,2,out,59,35.0,9.0,0.0,168.57,Delhi Capitals,40th, Delhi, April 29
Mitchell Marsh,3,out,63,39.0,1.0,6.0,161.53,Delhi Capitals,40th, Delhi, April 29
Manish Pandey,4,out,1,3.0,0.0,0.0,33.33,Delhi Capitals,40th, Delhi, April 29
Priyam Garg,5,out,12,9.0,1.0,0.0,133.33,Delhi Capitals,40th, Delhi, April 29
Sarfaraz Khan,6,out,9,10.0,1.0,0.0,90,Delhi Capitals,40th, Delhi, April 29
Axar Patel,7,not out,29,14.0,1.0,2.0,207.14,Delhi Capitals,40th, Delhi, April 29
Ripal Patel,8,not out,11,8.0,1.0,0.0,137.5,Delhi Capitals,40th, Delhi, April 29
Ruturaj Gaikwad,1,out,37,31.0,4.0,1.0,119.35,Chennai Super Kings,41st, Chennai, April 30
Devon Conway,2,not out,92,52.0,16.0,1.0,176.92,Chennai Super Kings,41st, Chennai, April 30
Shivam Dube,3,out,28,17.0,1.0,2.0,164.7,Chennai Super Kings,41st, Chennai, April 30
Moeen Ali,4,out,10,6.0,2.0,0.0,166.66,Chennai Super Kings,41st, Chennai, April 30
Ravindra Jadeja,5,out,12,10.0,0.0,0.0,120,Chennai Super Kings,41st, Chennai, April 30
MS Dhoni (c)†,6,not out,13,4.0,0.0,2.0,325,Chennai Super Kings,41st, Chennai, April 30
Prabhsimran Singh,1,out,42,24.0,4.0,2.0,175,Punjab Kings,41st, Chennai, April 30
Shikhar Dhawan (c),2,out,28,15.0,4.0,1.0,186.66,Punjab Kings,41st, Chennai, April 30
Atharva Taide,3,out,13,17.0,0.0,0.0,76.47,Punjab Kings,41st, Chennai, April 30
Liam Livingstone,4,out,40,24.0,1.0,4.0,166.66,Punjab Kings,41st, Chennai, April 30
Sam Curran,5,out,29,20.0,1.0,1.0,145,Punjab Kings,41st, Chennai, April 30
Jitesh Sharma †,6,out,21,10.0,2.0,1.0,210,Punjab Kings,41st, Chennai, April 30
M Shahrukh Khan,7,not out,2,3.0,0.0,0.0,66.66,Punjab Kings,41st, Chennai, April 30
Sikandar Raza,8,not out,13,7.0,1.0,0.0,185.71,Punjab Kings,41st, Chennai, April 30
Yashasvi Jaiswal,1,out,124,62.0,16.0,8.0,200,Rajasthan Royals,42nd, Wankhede, April 30
Jos Buttler,2,out,18,19.0,2.0,1.0,94.73,Rajasthan Royals,42nd, Wankhede, April 30
Sanju Samson (c)†,3,out,14,10.0,1.0,1.0,140,Rajasthan Royals,42nd, Wankhede, April 30
Devdutt Padikkal,4,out,2,4.0,0.0,0.0,50,Rajasthan Royals,42nd, Wankhede, April 30
Jason Holder,5,out,11,9.0,0.0,1.0,122.22,Rajasthan Royals,42nd, Wankhede, April 30
Shimron Hetmyer,6,out,8,9.0,0.0,1.0,88.88,Rajasthan Royals,42nd, Wankhede, April 30
Dhruv Jurel,7,out,2,3.0,0.0,0.0,66.66,Rajasthan Royals,42nd, Wankhede, April 30
Ravichandran Ashwin,8,not out,8,5.0,1.0,0.0,160,Rajasthan Royals,42nd, Wankhede, April 30
Trent Boult,9,not out,0,0.0,0.0,0.0,-,Rajasthan Royals,42nd, Wankhede, April 30
Rohit Sharma (c),1,out,3,5.0,0.0,0.0,60,Mumbai Indians,42nd, Wankhede, April 30
Ishan Kishan †,2,out,28,23.0,4.0,0.0,121.73,Mumbai Indians,42nd, Wankhede, April 30
Cameron Green,3,out,44,26.0,4.0,2.0,169.23,Mumbai Indians,42nd, Wankhede, April 30
Suryakumar Yadav,4,out,55,29.0,8.0,2.0,189.65,Mumbai Indians,42nd, Wankhede, April 30
Tilak Varma,5,not out,29,21.0,3.0,1.0,138.09,Mumbai Indians,42nd, Wankhede, April 30
Tim David,6,not out,45,14.0,2.0,5.0,321.42,Mumbai Indians,42nd, Wankhede, April 30
Virat Kohli,1,out,31,30.0,3.0,0.0,103.33,Royal Challengers Bangalore,43rd, Lucknow, May 01
Faf du Plessis (c),2,out,44,40.0,1.0,1.0,110,Royal Challengers Bangalore,43rd, Lucknow, May 01
Anuj Rawat,3,out,9,11.0,0.0,0.0,81.81,Royal Challengers Bangalore,43rd, Lucknow, May 01
Glenn Maxwell,4,out,4,5.0,0.0,0.0,80,Royal Challengers Bangalore,43rd, Lucknow, May 01
Suyash Prabhudessai,5,out,6,7.0,0.0,0.0,85.71,Royal Challengers Bangalore,43rd, Lucknow, May 01
Dinesh Karthik †,6,out,16,11.0,1.0,1.0,145.45,Royal Challengers Bangalore,43rd, Lucknow, May 01
Mahipal Lomror,7,out,3,4.0,0.0,0.0,75,Royal Challengers Bangalore,43rd, Lucknow, May 01
Wanindu Hasaranga,8,not out,8,7.0,1.0,0.0,114.28,Royal Challengers Bangalore,43rd, Lucknow, May 01
Karn Sharma,9,out,2,2.0,0.0,0.0,100,Royal Challengers Bangalore,43rd, Lucknow, May 01
Mohammed Siraj,10,out,0,1.0,0.0,0.0,0,Royal Challengers Bangalore,43rd, Lucknow, May 01
Josh Hazlewood,11,not out,1,2.0,0.0,0.0,50,Royal Challengers Bangalore,43rd, Lucknow, May 01
Kyle Mayers,1,out,0,2.0,0.0,0.0,0,Lucknow Super Giants,43rd, Lucknow, May 01
Ayush Badoni,2,out,4,11.0,0.0,0.0,36.36,Lucknow Super Giants,43rd, Lucknow, May 01
Krunal Pandya,3,out,14,11.0,3.0,0.0,127.27,Lucknow Super Giants,43rd, Lucknow, May 01
Deepak Hooda,4,out,1,2.0,0.0,0.0,50,Lucknow Super Giants,43rd, Lucknow, May 01
Marcus Stoinis,5,out,13,19.0,0.0,1.0,68.42,Lucknow Super Giants,43rd, Lucknow, May 01
Nicholas Pooran †,6,out,9,7.0,0.0,1.0,128.57,Lucknow Super Giants,43rd, Lucknow, May 01
Krishnappa Gowtham,7,out,23,13.0,1.0,2.0,176.92,Lucknow Super Giants,43rd, Lucknow, May 01
Ravi Bishnoi,8,out,5,10.0,0.0,0.0,50,Lucknow Super Giants,43rd, Lucknow, May 01
Amit Mishra,9,out,19,30.0,2.0,0.0,63.33,Lucknow Super Giants,43rd, Lucknow, May 01
Naveen-ul-Haq,10,out,13,13.0,2.0,0.0,100,Lucknow Super Giants,43rd, Lucknow, May 01
KL Rahul (c),11,not out,0,3.0,0.0,0.0,0,Lucknow Super Giants,43rd, Lucknow, May 01
Phil Salt †,1,out,0,1.0,0.0,0.0,0,Delhi Capitals,44th, Ahmedabad, May 02
David Warner (c),2,out,2,2.0,0.0,0.0,100,Delhi Capitals,44th, Ahmedabad, May 02
Priyam Garg,3,out,10,14.0,0.0,0.0,71.42,Delhi Capitals,44th, Ahmedabad, May 02
Rilee Rossouw,4,out,8,6.0,2.0,0.0,133.33,Delhi Capitals,44th, Ahmedabad, May 02
Manish Pandey,5,out,1,4.0,0.0,0.0,25,Delhi Capitals,44th, Ahmedabad, May 02
Axar Patel,6,out,27,30.0,2.0,1.0,90,Delhi Capitals,44th, Ahmedabad, May 02
Aman Hakim Khan,7,out,51,44.0,3.0,3.0,115.9,Delhi Capitals,44th, Ahmedabad, May 02
Ripal Patel,8,out,23,13.0,2.0,1.0,176.92,Delhi Capitals,44th, Ahmedabad, May 02
Anrich Nortje,9,not out,3,6.0,0.0,0.0,50,Delhi Capitals,44th, Ahmedabad, May 02
Kuldeep Yadav,10,not out,0,1.0,0.0,0.0,0,Delhi Capitals,44th, Ahmedabad, May 02
Wriddhiman Saha †,1,out,0,6.0,0.0,0.0,0,Gujarat Titans,44th, Ahmedabad, May 02
Shubman Gill,2,out,6,7.0,1.0,0.0,85.71,Gujarat Titans,44th, Ahmedabad, May 02
Hardik Pandya (c),3,not out,59,53.0,7.0,0.0,111.32,Gujarat Titans,44th, Ahmedabad, May 02
Vijay Shankar,4,out,6,9.0,1.0,0.0,66.66,Gujarat Titans,44th, Ahmedabad, May 02
David Miller,5,out,0,3.0,0.0,0.0,0,Gujarat Titans,44th, Ahmedabad, May 02
Abhinav Manohar,6,out,26,33.0,0.0,1.0,78.78,Gujarat Titans,44th, Ahmedabad, May 02
Rahul Tewatia,7,out,20,7.0,0.0,3.0,285.71,Gujarat Titans,44th, Ahmedabad, May 02
Rashid Khan,8,not out,3,2.0,0.0,0.0,150,Gujarat Titans,44th, Ahmedabad, May 02
Manan Vohra,1,out,10,11.0,1.0,0.0,90.9,Lucknow Super Giants,45th, Lucknow, May 03
Kyle Mayers,2,out,14,17.0,2.0,0.0,82.35,Lucknow Super Giants,45th, Lucknow, May 03
Karan Sharma,3,out,9,16.0,0.0,0.0,56.25,Lucknow Super Giants,45th, Lucknow, May 03
Krunal Pandya (c),4,out,0,1.0,0.0,0.0,0,Lucknow Super Giants,45th, Lucknow, May 03
Marcus Stoinis,5,out,6,4.0,1.0,0.0,150,Lucknow Super Giants,45th, Lucknow, May 03
Nicholas Pooran †,6,out,20,31.0,0.0,0.0,64.51,Lucknow Super Giants,45th, Lucknow, May 03
Ayush Badoni,7,not out,59,33.0,2.0,4.0,178.78,Lucknow Super Giants,45th, Lucknow, May 03
Krishnappa Gowtham,8,out,1,3.0,0.0,0.0,33.33,Lucknow Super Giants,45th, Lucknow, May 03
"Ambati Rayudu,",1,out,Chennai Super Kings Team:,,,,,,,,
"Ruturaj Gaikwad,",2,out,Chennai Super Kings Team:,,,,,,,,
"Devon Conway,",3,out,Chennai Super Kings Team:,,,,,,,,
"Ajinkya Rahane,",4,out,Chennai Super Kings Team:,,,,,,,,
"Moeen Ali,",5,out,Chennai Super Kings Team:,,,,,,,,
"Shivam Dube,",6,out,Chennai Super Kings Team:,,,,,,,,
"Ravindra Jadeja,",7,out,Chennai Super Kings Team:,,,,,,,,
"MS Dhoni (c)†,",8,out,Chennai Super Kings Team:,,,,,,,,
"Matheesha Pathirana,",9,out,Chennai Super Kings Team:,,,,,,,,
"Tushar Deshpande,",10,out,Chennai Super Kings Team:,,,,,,,,
"Maheesh Theekshana,",11,out,Chennai Super Kings Team:,,,,,,,,
Deepak Chahar,12,out,Chennai Super Kings Team:,,,,,,,,
Prabhsimran Singh,1,out,9,7.0,1.0,0.0,128.57,Punjab Kings,46th, Mohali, May 03
Shikhar Dhawan (c),2,out,30,20.0,5.0,0.0,150,Punjab Kings,46th, Mohali, May 03
Matthew Short,3,out,27,26.0,2.0,1.0,103.84,Punjab Kings,46th, Mohali, May 03
Liam Livingstone,4,not out,82,42.0,7.0,4.0,195.23,Punjab Kings,46th, Mohali, May 03
Jitesh Sharma †,5,not out,49,27.0,5.0,2.0,181.48,Punjab Kings,46th, Mohali, May 03
Rohit Sharma (c),1,out,0,3.0,0.0,0.0,0,Mumbai Indians,46th, Mohali, May 03
Ishan Kishan †,2,out,75,41.0,7.0,4.0,182.92,Mumbai Indians,46th, Mohali, May 03
Cameron Green,3,out,23,18.0,4.0,0.0,127.77,Mumbai Indians,46th, Mohali, May 03
Suryakumar Yadav,4,out,66,31.0,8.0,2.0,212.9,Mumbai Indians,46th, Mohali, May 03
Tim David,5,not out,19,10.0,3.0,0.0,190,Mumbai Indians,46th, Mohali, May 03
Tilak Varma,6,not out,26,10.0,1.0,3.0,260,Mumbai Indians,46th, Mohali, May 03
Jason Roy,1,out,20,19.0,4.0,0.0,105.26,Kolkata Knight Riders,47th, Hyderabad, May 04
Rahmanullah Gurbaz †,2,out,0,1.0,0.0,0.0,0,Kolkata Knight Riders,47th, Hyderabad, May 04
Venkatesh Iyer,3,out,7,4.0,1.0,0.0,175,Kolkata Knight Riders,47th, Hyderabad, May 04
Nitish Rana (c),4,out,42,31.0,3.0,3.0,135.48,Kolkata Knight Riders,47th, Hyderabad, May 04
Rinku Singh,5,out,46,35.0,4.0,1.0,131.42,Kolkata Knight Riders,47th, Hyderabad, May 04
Andre Russell,6,out,24,15.0,1.0,2.0,160,Kolkata Knight Riders,47th, Hyderabad, May 04
Sunil Narine,7,out,1,2.0,0.0,0.0,50,Kolkata Knight Riders,47th, Hyderabad, May 04
Shardul Thakur,8,out,8,6.0,1.0,0.0,133.33,Kolkata Knight Riders,47th, Hyderabad, May 04
Anukul Roy,9,not out,13,7.0,2.0,0.0,185.71,Kolkata Knight Riders,47th, Hyderabad, May 04
Harshit Rana,10,out,0,1.0,0.0,0.0,0,Kolkata Knight Riders,47th, Hyderabad, May 04
Vaibhav Arora,11,not out,2,1.0,0.0,0.0,200,Kolkata Knight Riders,47th, Hyderabad, May 04
Abhishek Sharma,1,out,9,10.0,1.0,0.0,90,Sunrisers Hyderabad,47th, Hyderabad, May 04
Mayank Agarwal,2,out,18,11.0,2.0,1.0,163.63,Sunrisers Hyderabad,47th, Hyderabad, May 04
Rahul Tripathi,3,out,20,9.0,3.0,1.0,222.22,Sunrisers Hyderabad,47th, Hyderabad, May 04
Aiden Markram (c),4,out,41,40.0,4.0,0.0,102.5,Sunrisers Hyderabad,47th, Hyderabad, May 04
Harry Brook,5,out,0,4.0,0.0,0.0,0,Sunrisers Hyderabad,47th, Hyderabad, May 04
Heinrich Klaasen †,6,out,36,20.0,1.0,3.0,180,Sunrisers Hyderabad,47th, Hyderabad, May 04
Abdul Samad,7,out,21,18.0,3.0,0.0,116.66,Sunrisers Hyderabad,47th, Hyderabad, May 04
Marco Jansen,8,out,1,4.0,0.0,0.0,25,Sunrisers Hyderabad,47th, Hyderabad, May 04
Bhuvneshwar Kumar,9,not out,5,5.0,1.0,0.0,100,Sunrisers Hyderabad,47th, Hyderabad, May 04
Mayank Markande,10,not out,1,2.0,0.0,0.0,50,Sunrisers Hyderabad,47th, Hyderabad, May 04
Yashasvi Jaiswal,1,out,14,11.0,1.0,1.0,127.27,Rajasthan Royals,48th, Jaipur, May 05
Jos Buttler,2,out,8,6.0,2.0,0.0,133.33,Rajasthan Royals,48th, Jaipur, May 05
Sanju Samson (c)†,3,out,30,20.0,3.0,1.0,150,Rajasthan Royals,48th, Jaipur, May 05
Devdutt Padikkal,4,out,12,12.0,1.0,0.0,100,Rajasthan Royals,48th, Jaipur, May 05
Ravichandran Ashwin,5,out,2,6.0,0.0,0.0,33.33,Rajasthan Royals,48th, Jaipur, May 05
Riyan Parag,6,out,4,6.0,0.0,0.0,66.66,Rajasthan Royals,48th, Jaipur, May 05
Shimron Hetmyer,7,out,7,13.0,0.0,0.0,53.84,Rajasthan Royals,48th, Jaipur, May 05
Dhruv Jurel,8,out,9,8.0,1.0,0.0,112.5,Rajasthan Royals,48th, Jaipur, May 05
Trent Boult,9,out,15,11.0,1.0,1.0,136.36,Rajasthan Royals,48th, Jaipur, May 05
Adam Zampa,10,out,7,9.0,0.0,0.0,77.77,Rajasthan Royals,48th, Jaipur, May 05
Sandeep Sharma,11,not out,2,5.0,0.0,0.0,40,Rajasthan Royals,48th, Jaipur, May 05
Wriddhiman Saha †,1,not out,41,34.0,5.0,0.0,120.58,Gujarat Titans,48th, Jaipur, May 05
Shubman Gill,2,out,36,35.0,6.0,0.0,102.85,Gujarat Titans,48th, Jaipur, May 05
Hardik Pandya (c),3,not out,39,15.0,3.0,3.0,260,Gujarat Titans,48th, Jaipur, May 05
Cameron Green,1,out,6,4.0,1.0,0.0,150,Mumbai Indians,49th, Chennai, May 06
Ishan Kishan †,2,out,7,9.0,1.0,0.0,77.77,Mumbai Indians,49th, Chennai, May 06
Rohit Sharma (c),3,out,0,3.0,0.0,0.0,0,Mumbai Indians,49th, Chennai, May 06
Nehal Wadhera,4,out,64,51.0,8.0,1.0,125.49,Mumbai Indians,49th, Chennai, May 06
Suryakumar Yadav,5,out,26,22.0,3.0,0.0,118.18,Mumbai Indians,49th, Chennai, May 06
Tristan Stubbs,6,out,20,21.0,2.0,0.0,95.23,Mumbai Indians,49th, Chennai, May 06
Tim David,7,out,2,4.0,0.0,0.0,50,Mumbai Indians,49th, Chennai, May 06
Arshad Khan,8,out,1,2.0,0.0,0.0,50,Mumbai Indians,49th, Chennai, May 06
Jofra Archer,9,not out,3,2.0,0.0,0.0,150,Mumbai Indians,49th, Chennai, May 06
Piyush Chawla,10,not out,2,2.0,0.0,0.0,100,Mumbai Indians,49th, Chennai, May 06
Ruturaj Gaikwad,1,out,30,16.0,4.0,2.0,187.5,Chennai Super Kings,49th, Chennai, May 06
Devon Conway,2,out,44,42.0,4.0,0.0,104.76,Chennai Super Kings,49th, Chennai, May 06
Ajinkya Rahane,3,out,21,17.0,1.0,1.0,123.52,Chennai Super Kings,49th, Chennai, May 06
Ambati Rayudu,4,out,12,11.0,0.0,1.0,109.09,Chennai Super Kings,49th, Chennai, May 06
Shivam Dube,5,not out,26,18.0,0.0,3.0,144.44,Chennai Super Kings,49th, Chennai, May 06
MS Dhoni (c)†,6,not out,2,3.0,0.0,0.0,66.66,Chennai Super Kings,49th, Chennai, May 06
Virat Kohli,1,out,55,46.0,5.0,0.0,119.56,Royal Challengers Bangalore,50th, Delhi, May 06
Faf du Plessis (c),2,out,45,32.0,5.0,1.0,140.62,Royal Challengers Bangalore,50th, Delhi, May 06
Glenn Maxwell,3,out,0,1.0,0.0,0.0,0,Royal Challengers Bangalore,50th, Delhi, May 06
Mahipal Lomror,4,not out,54,29.0,6.0,3.0,186.2,Royal Challengers Bangalore,50th, Delhi, May 06
Dinesh Karthik †,5,out,11,9.0,0.0,1.0,122.22,Royal Challengers Bangalore,50th, Delhi, May 06
Anuj Rawat,6,not out,8,3.0,0.0,1.0,266.66,Royal Challengers Bangalore,50th, Delhi, May 06
David Warner (c),1,out,22,14.0,3.0,1.0,157.14,Delhi Capitals,50th, Delhi, May 06
Phil Salt †,2,out,87,45.0,8.0,6.0,193.33,Delhi Capitals,50th, Delhi, May 06
Mitchell Marsh,3,out,26,17.0,3.0,1.0,152.94,Delhi Capitals,50th, Delhi, May 06
Rilee Rossouw,4,not out,35,22.0,1.0,3.0,159.09,Delhi Capitals,50th, Delhi, May 06
Axar Patel,5,not out,8,3.0,0.0,1.0,266.66,Delhi Capitals,50th, Delhi, May 06
Wriddhiman Saha †,1,out,81,43.0,10.0,4.0,188.37,Gujarat Titans,51st, Ahmedabad, May 07
Shubman Gill,2,not out,94,51.0,2.0,7.0,184.31,Gujarat Titans,51st, Ahmedabad, May 07
Hardik Pandya (c),3,out,25,15.0,1.0,2.0,166.66,Gujarat Titans,51st, Ahmedabad, May 07
David Miller,4,not out,21,12.0,2.0,1.0,175,Gujarat Titans,51st, Ahmedabad, May 07
Kyle Mayers,1,out,48,32.0,7.0,2.0,150,Lucknow Super Giants,51st, Ahmedabad, May 07
Quinton de Kock †,2,out,70,41.0,7.0,3.0,170.73,Lucknow Super Giants,51st, Ahmedabad, May 07
Deepak Hooda,3,out,11,11.0,0.0,0.0,100,Lucknow Super Giants,51st, Ahmedabad, May 07
Marcus Stoinis,4,out,4,9.0,0.0,0.0,44.44,Lucknow Super Giants,51st, Ahmedabad, May 07
Nicholas Pooran,5,out,3,6.0,0.0,0.0,50,Lucknow Super Giants,51st, Ahmedabad, May 07
Ayush Badoni,6,out,21,11.0,1.0,2.0,190.9,Lucknow Super Giants,51st, Ahmedabad, May 07
Swapnil Singh,7,not out,2,4.0,0.0,0.0,50,Lucknow Super Giants,51st, Ahmedabad, May 07
Krunal Pandya (c),8,out,0,1.0,0.0,0.0,0,Lucknow Super Giants,51st, Ahmedabad, May 07
Ravi Bishnoi,9,not out,4,5.0,1.0,0.0,80,Lucknow Super Giants,51st, Ahmedabad, May 07
Yashasvi Jaiswal,1,out,35,18.0,5.0,2.0,194.44,Rajasthan Royals,52nd, Jaipur, May 07
Jos Buttler,2,out,95,59.0,10.0,4.0,161.01,Rajasthan Royals,52nd, Jaipur, May 07
Sanju Samson (c)†,3,not out,66,38.0,4.0,5.0,173.68,Rajasthan Royals,52nd, Jaipur, May 07
Shimron Hetmyer,4,not out,7,5.0,0.0,0.0,140,Rajasthan Royals,52nd, Jaipur, May 07
Anmolpreet Singh,1,out,33,25.0,4.0,1.0,132,Sunrisers Hyderabad,52nd, Jaipur, May 07
Abhishek Sharma,2,out,55,34.0,5.0,2.0,161.76,Sunrisers Hyderabad,52nd, Jaipur, May 07
Rahul Tripathi,3,out,47,29.0,2.0,3.0,162.06,Sunrisers Hyderabad,52nd, Jaipur, May 07
Heinrich Klaasen †,4,out,26,12.0,2.0,2.0,216.66,Sunrisers Hyderabad,52nd, Jaipur, May 07
Aiden Markram (c),5,out,6,5.0,1.0,0.0,120,Sunrisers Hyderabad,52nd, Jaipur, May 07
Glenn Phillips,6,out,25,7.0,1.0,3.0,357.14,Sunrisers Hyderabad,52nd, Jaipur, May 07
Abdul Samad,7,not out,17,7.0,0.0,2.0,242.85,Sunrisers Hyderabad,52nd, Jaipur, May 07
Marco Jansen,8,not out,3,2.0,0.0,0.0,150,Sunrisers Hyderabad,52nd, Jaipur, May 07
Prabhsimran Singh,1,out,12,8.0,3.0,0.0,150,Punjab Kings,53rd, Eden Gardens, May 08
